id,name,description,duration,difficulty,calories_burned,muscle_group,image
11,Bootcamp Challenge,"High-intensity bootcamp-style workout with a variety of exercises.",60,Advanced,450,Cardio,https://img.freepik.com/free-photo/muscular-man-doing-push-ups-one-hand_7502-4775.jpg?t=st=1713433277~exp=1713436877~hmac=4a93c3805a36982124f1ced01f85fc3e1ecc9d2ade742952527631eac0716685&w=1380
12,Dance Fitness,"Dynamic dance fitness class with upbeat music and choreographed routines.",45,Beginner,300,Cardio,https://img.freepik.com/free-photo/people-taking-part-dance-therapy-class_23-2149346587.jpg?t=st=1713721179~exp=1713724779~hmac=ab4c185fee76c79e4b262a7a14f4cc51630427ccf386c1315b77e2458626dafc&w=1380
13,Kickboxing Cardio,"Kickboxing-inspired cardio workout focusing on punches, kicks, and combos.",40,Intermediate,350,Cardio,https://img.freepik.com/free-photo/young-boxing-trainer-his-new-student-have-training-boxing-ring_613910-13112.jpg?t=st=1713433359~exp=1713436959~hmac=a374599e1195b5fec469c7f5639326006b8401ce5b7757bc0233f448df5ef624&w=1380
14,Tabata Training,"Tabata-style interval training session with intense bursts of exercise.",25,Advanced,250,Cardio,https://img.freepik.com/free-photo/full-shot-woman-stretching-arm_23-2149036383.jpg?t=st=1713433429~exp=1713437029~hmac=f7062fd963fa591b040c32a18e81ffe136d28b526832c7a8c40947d2953b6d70&w=1380
15,Barre Sculpt,"Barre workout combining elements of ballet, Pilates, and strength training.",50,Intermediate,300,Strength,https://img.freepik.com/free-photo/full-shot-people-barre-group-class_23-2150340844.jpg?t=st=1713433528~exp=1713437128~hmac=bd2971c6be4441acab09ceee534f1f4a874f231be94885fad4e30960034a9469&w=1380
16,Swimming Drills,"Swimming drills for improving technique and cardiovascular fitness.",45,Intermediate,400,Cardio,https://images.unsplash.com/photo-1530549387789-4c1017266635?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
17,Hiking Adventure,"Outdoor hiking adventure for endurance, strength, and nature exploration.",120,Intermediate,500,Cardio,https://img.freepik.com/free-photo/back-view-hiker-watching-sunset-from-mountain_181624-52983.jpg?t=st=1713433694~exp=1713437294~hmac=210294bf04b41bf4038d5408cdaf3da1bac99c10f958e94153ce004df149d8ed&w=1380
18,Power Yoga,"Dynamic yoga practice focusing on strength, flexibility, and breath control.",60,Intermediate,350,Yoga,https://img.freepik.com/free-photo/yoga-woman-young-woman-doing-yoga-morning_654080-1084.jpg?t=st=1713433723~exp=1713437323~hmac=4b00e8db929ce73307f96ce4196aaf4080a29022409cac8875fcc0e9bf13b1e0&w=1380
19,Body Pump,"High-repetition resistance training class using barbells and weights.",55,Intermediate,400,Strength,https://img.freepik.com/free-photo/full-body-portrait-athletic-shirtless-male-doing-biceps-workouts-with-dumbbells-gym-club_613910-1176.jpg?t=st=1713433772~exp=1713437372~hmac=523039f796abe930ab6ccab59cc075ea33bf1ce7c997564ac89bc5304455834b&w=996
20,Core Fusion,"Core-focused workout combining Pilates, yoga, and strength exercises.",45,Intermediate,300,Core,https://img.freepik.com/free-photo/full-shot-woman-standing-her-hands_23-2148257102.jpg?t=st=1713433817~exp=1713437417~hmac=0e0b82837b200aec9ce0fd236e8977ff5967037ee574904376142437689834bc&w=1380
21,Functional Fitness,"Functional fitness routine incorporating everyday movements for strength and mobility.",40,Beginner,250,Strength,https://img.freepik.com/free-photo/strong-man-training-gym_1303-23876.jpg?t=st=1713433865~exp=1713437465~hmac=a462285a8b1ded5b3eb8e2b79228e455840e7bcc76cf43a8d4e8ee010284ebb0&w=1380
22,Jump Rope Cardio,"Jump rope cardio workout for improving cardiovascular health and coordination.",30,Intermediate,250,Cardio,https://img.freepik.com/free-photo/young-healthy-man-athlete-doing-exercise-with-ropes-gym-single-male-model-practicing-hard-training-his-upper-body-concept-healthy-lifestyle-sport-fitness-bodybuilding-wellbeing_155003-27879.jpg?t=st=1713433891~exp=1713437491~hmac=839eb0ca04b36080a9eee6af163be858d585b201910dd3fd75dd2939850950da&w=1380
23,Body Combat,"High-energy martial arts-inspired workout with punches, kicks, and strikes.",55,Intermediate,400,Cardio,https://img.freepik.com/free-photo/afro-american-male-boxer_155003-6113.jpg?t=st=1713433935~exp=1713437535~hmac=f818d036ed175ce4a02592f5468dba2e316d0036586c291014a3df7d6beb1278&w=1380
24,Abs Blast,"Intense abdominal workout targeting the core muscles for strength and definition.",20,Intermediate,200,Core,https://img.freepik.com/free-photo/low-angle-view-unrecognizable-muscular-build-man-preparing-lifting-barbell-health-club_637285-2497.jpg?t=st=1713718928~exp=1713722528~hmac=7ce306c412ff44e86256cd9f388c70eea341f5b2421569b4834416611b12044f&w=1380
25,Prenatal Yoga,"Gentle yoga practice tailored for expectant mothers to promote relaxation and flexibility.",40,Beginner,150,Yoga,https://img.freepik.com/free-photo/full-shot-pregnant-woman-meditating_23-2150310597.jpg?t=st=1713718963~exp=1713722563~hmac=716c79e6145fcbaad58fbacf0f497827b861a31c674b9f0a9528acc8c3563cfc&w=1380
26,Interval Circuit Training,"Circuit training workout alternating between strength and cardio exercises.",50,Intermediate,350,Strength,https://img.freepik.com/free-photo/athlete-starting-line-stadium_23-2149399602.jpg?t=st=1713719071~exp=1713722671~hmac=f0465fc1bdbdc498dd025f30fbb9d21b0b2c82339f357566ccd99934993b4719&w=1380
27,Rowing Workout,"Indoor rowing workout for full-body strength and cardiovascular endurance.",45,Intermediate,400,Cardio,https://img.freepik.com/free-photo/beautiful-shot-lake-with-white-kayak-brown-wooden-dock_181624-2568.jpg?t=st=1713719018~exp=1713722618~hmac=20e2e7e900e3c10709b5f0b6e9fc3e29ae1fe10f8d2b6e46792b077a8c50c87e&w=1060
28,Step Aerobics,"Classic step aerobics class incorporating step platforms for cardio and lower body toning.",45,Intermediate,300,Cardio,https://img.freepik.com/free-photo/man-women-doing-crunches_23-2148285026.jpg?t=st=1713719138~exp=1713722738~hmac=b32e12d8be88065f4457d147e6e4a86abaa6ecc7601dacc993f76b874a283390&w=1380
29,Dynamic Stretching,"Dynamic stretching routine to improve flexibility and warm up the muscles.",15,Beginner,100,Flexibility,https://img.freepik.com/free-photo/young-sporty-woman-sukhasana-side-bending-pose_1163-4595.jpg?t=st=1713719197~exp=1713722797~hmac=617d2999531cd52ea02d9f43e1ec8ed526b4c4f40b0fbc3b5d48793750664f84&w=1380
30,Kettlebell Training,"Kettlebell workout focusing on strength, power, and functional movements.",45,Intermediate,350,Strength,https://img.freepik.com/free-photo/unrecognizable-sportswoman-practicing-with-kettle-bell-cross-training-fitness-center_637285-457.jpg?t=st=1713719345~exp=1713722945~hmac=da4bd9bdd95cca57547254e82ee223a157a5dda023ce6f17cf895791166f8c00&w=1380
31,Plyometric Circuit,"Plyometric circuit training session for explosive power and agility.",40,Advanced,400,Strength,https://img.freepik.com/free-photo/portrait-young-muscular-afro-american-sportsman_171337-9461.jpg?t=st=1713719382~exp=1713722982~hmac=978a273a56a213fac7880a42ef628ba7f403caf8e83b636c727a26570c8fe609&w=1380
32,Senior Fitness,"Low-impact fitness class designed for older adults to improve strength and mobility.",40,Beginner,200,Strength,https://img.freepik.com/free-photo/elderly-people-working-out-gym_23-2147777005.jpg?t=st=1713719468~exp=1713723068~hmac=ddf2046724913595c39f60db334c46c222752b18f1f7b967543543d3123191f7&w=1380
33,Tai Chi Practice,"Slow and gentle Tai Chi practice for relaxation, balance, and stress reduction.",60,Beginner,150,Yoga,https://img.freepik.com/free-photo/woman-training-taekwondo-outdoors-nature_23-2149908493.jpg?t=st=1713719542~exp=1713723142~hmac=eea370850319248ebd99d2f6d6fa1d074e119aa1f3562a892354069efd18b4af&w=1380
34,Medicine Ball Workout,"Medicine ball workout incorporating throws, twists, and core exercises.",40,Intermediate,300,Strength,https://img.freepik.com/free-photo/side-view-sportsman-lying-fitness-ball_171337-15452.jpg?t=st=1713719620~exp=1713723220~hmac=3ea72278f0f94abe3bea0374be79c8e23d2c1352cd29a7876c10cd3c342802e5&w=1380
35,Aerial Yoga,"Aerial yoga class using suspended hammocks for increased flexibility and strength.",60,Intermediate,350,Yoga,https://img.freepik.com/free-photo/adult-woman-practices-anti-gravity-yoga_158595-4533.jpg?t=st=1713719660~exp=1713723260~hmac=ca9298d5b12d88b2d75d417fd7573e9f20f4ca10fb4c65efbae43548c1f1f4ae&w=1380
36,Outdoor Bootcamp,"Outdoor bootcamp-style workout utilizing natural elements for resistance and cardio.",60,Advanced,450,Cardio,https://img.freepik.com/free-photo/woman-man-exercising-together-outdoors_23-2148891946.jpg?t=st=1713719961~exp=1713723561~hmac=bb9a1be18f8b1e006966a7f6add8f1117abff158f7c7e7762fb5159ecf8c0edd&w=1380
37,Functional Movement Screen,"Functional movement assessment to identify strengths and weaknesses in physical performance.",30,Intermediate,0,Strength,https://img.freepik.com/free-photo/side-view-man-training-gym_23-2149734726.jpg?t=st=1713720152~exp=1713723752~hmac=8aa198878f8c76d9042c3ebca633a806b818bc5aeb15e3bc517d8dba827b0a7d&w=1380
38,Ashtanga Yoga,"Ashtanga yoga session with a series of poses for strength, flexibility, and stamina.",90,Advanced,450,Yoga,https://img.freepik.com/free-photo/group-young-yogi-people-sitting-sukhasana-exercise_1163-4945.jpg?t=st=1713720194~exp=1713723794~hmac=24dd8690a59b5850013148bce2a440098cb6c01bc12c3c38d3b745a8d92d7811&w=1380
39,Obstacle Course Training,"Obstacle course training session for strength, agility, and endurance.",60,Advanced,500,Strength,https://img.freepik.com/free-photo/climbing-adventure-park-carpathians-romania_1268-20385.jpg?t=st=1713720285~exp=1713723885~hmac=e85e642156dcf63a77afbf57aed667816b2f04962ed33dc774d9f3a410d2e5e5&w=1380
40,Mobility Training,"Mobility training session focusing on joint health and movement efficiency.",30,Intermediate,150,Strength,https://img.freepik.com/free-photo/smile-corporate-skyscraper-teeth-bare_1134-1439.jpg?t=st=1713720342~exp=1713723942~hmac=fd8d8ad32777190f93cefc6929e741fd6461714c516ed210578adabc1ea6711c&w=1480
41,Zumba Class,"Energetic Zumba class with Latin-inspired dance moves for a fun cardio workout.",45,Beginner,350,Cardio,https://img.freepik.com/free-photo/dance-time-stylish-men-woman-dancing-hip-hop-bright-clothes-green-background-dance-hall-neon-light_155003-16406.jpg?t=st=1713720403~exp=1713724003~hmac=88a16e5719258dc11e81454249163a10b01aa1a0f0cb2246aacb192d640317a6&w=1380
42,CrossFit Challenge,"Intense CrossFit challenge with varied functional exercises for high-level fitness.",60,Advanced,500,Strength,https://img.freepik.com/free-photo/shaved-head-athletic-male-two-slim-females-doing-squats-with-dumbbells-gym-club_613910-11371.jpg?t=st=1713722135~exp=1713725735~hmac=7664ba3a1f3bcb2ba3add463caa132e847b656a54605fd630957f74955ad52e3&w=1380
43,Hot Yoga,"Hot yoga class in a heated room to increase flexibility and detoxification.",60,Intermediate,400,Yoga,https://img.freepik.com/free-photo/front-view-yoga-practice-exercise_23-2148343477.jpg?t=st=1713720511~exp=1713724111~hmac=38a94146eec114c5434ea952de37f2144cc33481cd1e10950d5dbabbf46eb122&w=1380
44,Spartan Race Training,"Training specifically designed for preparing for Spartan races and other obstacle courses.",60,Advanced,500,Cardio,https://img.freepik.com/free-photo/side-view-male-runner-sprinter-race-track-running_23-2148162173.jpg?t=st=1713720558~exp=1713724158~hmac=05be4052b4038b39583d73ef9049693d7e56d6df2bb720fc04d21a47d26aeabe&w=1380
45,Walking for Health,"Gentle walking session designed to improve cardiovascular health and overall well-being.",30,Beginner,150,Cardio,https://img.freepik.com/free-photo/young-woman-doing-exercise-park_23-2147915540.jpg?t=st=1713720662~exp=1713724262~hmac=024041c9a3231b9deaaf03ecc2354ada2481311cdf03ab62f5f6c8a8d513af03&w=1380
46,Mountain Climbing,"Challenging mountain climbing expedition to boost endurance and strength.",120,Advanced,550,Cardio,https://img.freepik.com/free-photo/full-shot-people-hiking-together_23-2150382972.jpg?t=st=1713720697~exp=1713724297~hmac=356c5b1ab72bbcf14b96a4f2d01c22b9fff40d1479ece6ee45b34d8c951f6ddc&w=1380
47,Ironman Training,"Comprehensive training plan for competing in Ironman triathlons.",120,Advanced,600,Cardio,https://img.freepik.com/free-photo/athlete-starting-line-stadium_23-2149399630.jpg?t=st=1713720810~exp=1713724410~hmac=3ae0c4c7dfd8439c7c66a68fc188068271d5303a9638b03f925a9cab0f2840b4&w=1380
48,Martial Arts,"Martial arts training emphasizing self-defense, discipline, and physical fitness.",60,Intermediate,350,Strength,https://img.freepik.com/free-photo/martial-arts-karate-girl-with-black-belt-copy-space-background_23-2148322371.jpg?t=st=1713720859~exp=1713724459~hmac=0d9530b6b6d22e71fa9bf0cd2ff46ee2c23a3b1c0dbf15514f65750723881fd8&w=1380
49,Ballet Fitness,"Ballet-inspired fitness class focusing on grace, flexibility, and strength.",60,Intermediate,300,Flexibility,https://img.freepik.com/free-photo/professional-pole-dancer-model_23-2148411980.jpg?t=st=1713720939~exp=1713724539~hmac=f1442826b2833ee5a453a5cc0ad5c6e345564d51fea3ab7912c52f50a6b2273c&w=1380
50,Hockey,"Team sport which develops breath control, agility, and teamwork.",90,Advanced,400,Cardio,https://img.freepik.com/free-photo/hockey-players_654080-1960.jpg?t=st=1713721006~exp=1713724606~hmac=9a9fc479905d3983dee24a258e56a2b2038d2f97fe9c799b3d70707917971387&w=1380
